Probabilities	# of occurances	weighted		
0.15	1037	155.55	0.008851148	<- expected value
0.16	172	27.52	10000	<- # of iterations
0.169	136	22.984		
0.18	889	160.02		
0.188	647	121.636		
0.192	212	40.704		
0.2	653	130.6		
0.202	56	11.312		
0.203	11	2.233		
0.205	8	1.64		
0.211	31	6.541		
0.216	190	41.04		
0.225	1225	275.625		
0.23	64	14.72		
0.24	1409	338.16		
0.246	2	0.492		
0.25	1619	404.75		
0.253	74	18.722		
0.256	107	27.392		
0.27	437	117.99		
0.281	445	125.045		
0.288	474	136.512		
0.307	81	24.867		
0.316	13	4.108		
0.328	8	2.624		
